Time,nSpikesIn10s_20190603_slice2,phaseNumber_20190603_slice2,nSpikesIn10s_20190603_slice3,phaseNumber_20190603_slice3,nSpikesIn10s_20190603_slice6,phaseNumber_20190603_slice6,nSpikesIn10s_20190605_slice3,phaseNumber_20190605_slice3,nSpikesIn10s_20190605_slice4,phaseNumber_20190605_slice4,nSpikesIn10s_20190606_slice5,phaseNumber_20190606_slice5,nSpikesIn10s_20190606_slice7,phaseNumber_20190606_slice7
-20 min,81,1,414,1,105,1,111,1,921,1,294,1,144,1
-19 min,91,1,400,1,94,1,156,1,909,1,294,1,198,1
-18 min,102,1,394,1,139,1,228,1,749,1,321,1,307,1
-17 min,116,1,315,1,144,1,238,1,721,1,329,1,191,1
-16 min,123,1,304,1,131,1,384,1,707,1,323,1,291,1
-15 min,147,1,388,1,99,1,365,1,799,1,371,1,201,1
-14 min,153,1,242,1,103,1,436,1,887,1,361,1,203,1
-13 min,166,1,205,1,104,1,47,1,867,1,313,1,257,1
-12 min,167,1,344,1,117,1,564,1,864,1,328,1,213,1
-11 min,182,1,348,1,120,1,501,1,804,1,387,1,326,1
-10 min,196,1,365,1,100,1,509,1,748,1,398,1,199,1
-9 min,171,1,370,1,116,1,495,1,685,1,297,1,138,1
-8 min,197,1,323,1,95,1,519,1,878,1,335,1,212,1
-7 min,213,1,324,1,113,1,517,1,688,1,338,1,382,1
-6 min,213,1,268,1,109,1,447,1,447,1,285,1,304,1
-5 min,192,1,299,1,117,1,414,1,669,1,321,1,197,1
-4 min,227,1,294,1,107,1,551,1,832,1,362,1,313,1
-3 min,207,1,216,1,118,1,492,1,896,1,325,1,242,1
-2 min,229,1,270,1,103,1,556,1,754,1,395,1,312,1
-1 min,226,1,255,1,129,1,392,1,796,1,325,1,195,1
0 min,233,2,213,2,121,2,480,2,672,2,364,2,224,2
1 min,202,2,284,2,140,2,623,2,615,2,414,2,297,2
2 min,207,2,283,2,110,2,470,2,711,2,359,2,224,2
3 min,222,2,275,2,135,2,538,2,704,2,330,2,246,2
4 min,237,2,268,2,123,2,428,2,816,2,294,2,272,2
5 min,239,2,251,2,104,2,524,2,701,2,321,2,271,2
6 min,244,2,282,2,143,2,483,2,888,2,366,2,283,2
7 min,233,2,189,2,128,2,563,2,803,2,384,2,202,2
8 min,229,2,337,2,114,2,496,2,800,2,365,2,287,2
9 min,247,2,317,2,116,2,458,2,516,2,398,2,218,2
10 min,221,2,293,2,105,2,505,2,480,2,397,2,272,2
11 min,246,2,261,2,127,2,502,2,807,2,404,2,277,2
12 min,252,2,258,2,120,2,461,2,855,2,414,2,260,2
13 min,139,2,258,2,113,2,309,2,827,2,327,2,290,2
14 min,260,2,250,2,118,2,392,2,832,2,387,2,308,2
15 min,265,2,278,2,129,2,495,2,826,2,447,2,225,2
16 min,229,2,305,2,118,2,318,2,814,2,392,2,202,2
17 min,243,2,194,2,110,2,504,2,500,2,479,2,250,2
18 min,248,2,276,2,109,2,478,2,689,2,489,2,239,2
19 min,267,2,286,2,136,2,324,2,747,2,342,2,229,2
20 min,263,2,327,2,128,2,574,2,793,2,469,2,280,2
21 min,294,2,320,2,133,2,452,2,864,2,386,2,219,2
22 min,314,2,340,2,111,2,457,2,819,2,386,2,223,2
23 min,323,2,251,2,136,2,410,2,765,2,372,2,278,2
24 min,319,2,300,2,117,2,493,2,705,2,400,2,333,2
25 min,273,2,277,2,110,2,402,2,747,2,335,2,223,2
26 min,324,2,228,2,120,2,458,2,802,2,438,2,288,2
27 min,298,2,242,2,111,2,493,2,806,2,405,2,407,2
28 min,321,2,282,2,130,2,472,2,850,2,390,2,352,2
29 min,298,2,177,2,125,2,534,2,818,2,431,2,281,2
30 min,327,3,295,3,135,3,565,3,843,3,435,3,370,3
31 min,307,3,245,3,121,3,435,3,80,3,362,3,425,3
32 min,313,3,273,3,130,3,399,3,794,3,398,3,392,3
33 min,314,3,278,3,110,3,450,3,781,3,411,3,432,3
34 min,305,3,208,3,114,3,415,3,724,3,462,3,360,3
35 min,306,3,183,3,117,3,114,3,762,3,438,3,417,3
36 min,330,3,314,3,106,3,80,3,719,3,382,3,352,3
37 min,319,3,339,3,111,3,220,3,768,3,424,3,356,3
38 min,316,3,225,3,109,3,332,3,711,3,415,3,385,3
39 min,319,3,224,3,117,3,344,3,706,3,434,3,316,3
40 min,289,3,180,3,129,3,506,3,690,3,395,3,286,3
41 min,340,3,219,3,160,3,595,3,606,3,363,3,292,3
42 min,312,3,187,3,137,3,513,3,2,3,429,3,304,3
43 min,346,3,338,3,113,3,535,3,63,3,469,3,352,3
44 min,329,3,233,3,134,3,447,3,112,3,375,3,378,3
45 min,364,3,263,3,111,3,593,3,207,3,429,3,295,3
46 min,354,3,289,3,105,3,539,3,506,3,387,3,266,3
47 min,306,3,209,3,138,3,516,3,762,3,365,3,371,3
48 min,369,3,237,3,119,3,596,3,847,3,441,3,324,3
49 min,363,3,188,3,130,3,598,3,876,3,431,3,315,3
