Time,nSpikesTotal_20190603_slice7,phaseNumber_20190603_slice7,nSpikesTotal_20190603_slice9,phaseNumber_20190603_slice9,nSpikesTotal_20190604_slice2,phaseNumber_20190604_slice2,nSpikesTotal_20190604_slice3,phaseNumber_20190604_slice3,nSpikesTotal_20190604_slice4,phaseNumber_20190604_slice4,nSpikesTotal_20190604_slice7,phaseNumber_20190604_slice7,nSpikesTotal_20190606_slice1,phaseNumber_20190606_slice1,nSpikesTotal_20190606_slice2,phaseNumber_20190606_slice2,nSpikesTotal_20190606_slice3,phaseNumber_20190606_slice3,nSpikesTotal_20190607_slice4,phaseNumber_20190607_slice4
-20 min,524,1,134,1,757,1,458,1,240,1,215,1,284,1,542,1,233,1,111,1
-19 min,539,1,107,1,411,1,457,1,274,1,244,1,287,1,515,1,353,1,118,1
-18 min,492,1,133,1,101,1,442,1,254,1,211,1,307,1,500,1,291,1,105,1
-17 min,474,1,128,1,200,1,464,1,269,1,219,1,422,1,561,1,241,1,153,1
-16 min,609,1,110,1,331,1,479,1,321,1,242,1,689,1,490,1,426,1,116,1
-15 min,498,1,111,1,201,1,262,1,371,1,298,1,329,1,477,1,260,1,124,1
-14 min,481,1,105,1,201,1,74,1,340,1,240,1,317,1,446,1,265,1,148,1
-13 min,672,1,91,1,210,1,531,1,304,1,277,1,264,1,503,1,293,1,131,1
-12 min,502,1,99,1,197,1,379,1,277,1,251,1,283,1,468,1,315,1,146,1
-11 min,506,1,132,1,177,1,223,1,357,1,246,1,315,1,443,1,262,1,123,1
-10 min,618,1,123,1,262,1,204,1,243,1,246,1,313,1,436,1,355,1,201,1
-9 min,578,1,123,1,228,1,411,1,235,1,285,1,291,1,429,1,223,1,188,1
-8 min,389,1,118,1,250,1,259,1,376,1,278,1,400,1,478,1,263,1,237,1
-7 min,584,1,131,1,242,1,303,1,505,1,348,1,1018,1,445,1,271,1,182,1
-6 min,675,1,101,1,184,1,355,1,251,1,186,1,403,1,379,1,261,1,228,1
-5 min,612,1,106,1,266,1,290,1,399,1,255,1,522,1,397,1,289,1,164,1
-4 min,605,1,142,1,271,1,218,1,281,1,308,1,645,1,428,1,234,1,191,1
-3 min,541,1,136,1,241,1,244,1,375,1,297,1,602,1,444,1,209,1,202,1
-2 min,549,1,106,1,205,1,195,1,377,1,223,1,446,1,373,1,217,1,299,1
-1 min,626,1,124,1,226,1,296,1,319,1,258,1,461,1,447,1,226,1,250,1
0 min,548,2,122,2,230,2,265,2,293,2,307,2,446,2,359,2,319,2,203,2
1 min,606,2,113,2,220,2,282,2,427,2,258,2,394,2,463,2,230,2,207,2
2 min,653,2,140,2,221,2,315,2,306,2,276,2,432,2,283,2,271,2,234,2
3 min,562,2,109,2,191,2,204,2,352,2,303,2,380,2,408,2,191,2,243,2
4 min,581,2,141,2,206,2,263,2,381,2,226,2,387,2,421,2,254,2,239,2
5 min,613,2,128,2,9,2,156,2,341,2,304,2,385,2,470,2,218,2,258,2
6 min,524,2,129,2,235,2,241,2,239,2,299,2,450,2,460,2,275,2,226,2
7 min,533,2,109,2,254,2,237,2,257,2,295,2,376,2,402,2,167,2,278,2
8 min,613,2,145,2,271,2,234,2,270,2,252,2,405,2,445,2,165,2,284,2
9 min,612,2,118,2,269,2,189,2,380,2,228,2,408,2,431,2,172,2,353,2
10 min,716,2,101,2,207,2,182,2,380,2,272,2,131,2,454,2,174,2,329,2
11 min,582,2,141,2,206,2,337,2,338,2,254,2,360,2,429,2,293,2,271,2
12 min,701,2,129,2,236,2,113,2,315,2,256,2,383,2,456,2,171,2,375,2
13 min,389,2,106,2,226,2,180,2,352,2,251,2,453,2,385,2,193,2,384,2
14 min,671,2,107,2,222,2,212,2,399,2,224,2,371,2,347,2,190,2,335,2
15 min,566,2,133,2,247,2,256,2,314,2,241,2,381,2,437,2,212,2,375,2
16 min,656,2,116,2,215,2,203,2,332,2,215,2,371,2,416,2,195,2,392,2
17 min,729,2,106,2,129,2,175,2,408,2,237,2,417,2,428,2,188,2,379,2
18 min,718,2,100,2,285,2,147,2,307,2,212,2,379,2,320,2,182,2,387,2
19 min,725,2,129,2,312,2,254,2,269,2,254,2,433,2,374,2,171,2,351,2
20 min,668,2,96,2,46,2,208,2,406,2,242,2,478,2,335,2,214,2,358,2
21 min,747,2,127,2,411,2,246,2,321,2,226,2,399,2,422,2,230,2,364,2
22 min,602,2,86,2,29,2,183,2,367,2,223,2,441,2,330,2,286,2,366,2
23 min,549,2,106,2,181,2,190,2,316,2,246,2,432,2,384,2,174,2,441,2
24 min,574,2,138,2,186,2,213,2,257,2,192,2,473,2,249,2,209,2,386,2
25 min,586,2,106,2,213,2,193,2,345,2,253,2,453,2,421,2,228,2,403,2
26 min,642,2,115,2,192,2,227,2,274,2,206,2,480,2,393,2,230,2,439,2
27 min,564,2,106,2,221,2,168,2,245,2,217,2,417,2,431,2,196,2,394,2
28 min,638,2,107,2,199,2,229,2,381,2,336,2,425,2,436,2,317,2,348,2
29 min,732,2,101,2,166,2,198,2,352,2,173,2,484,2,381,2,179,2,418,2
30 min,703,3,141,3,182,3,207,3,480,3,190,3,455,3,404,3,172,3,453,3
31 min,758,3,170,3,169,3,219,3,244,3,174,3,478,3,407,3,191,3,425,3
32 min,719,3,75,3,109,3,199,3,265,3,189,3,483,3,432,3,364,3,430,3
33 min,604,3,70,3,177,3,184,3,249,3,242,3,532,3,427,3,225,3,424,3
34 min,682,3,88,3,210,3,173,3,229,3,252,3,525,3,417,3,187,3,381,3
35 min,623,3,74,3,81,3,223,3,368,3,209,3,502,3,441,3,215,3,413,3
36 min,625,3,85,3,229,3,181,3,329,3,216,3,578,3,384,3,190,3,392,3
37 min,724,3,105,3,123,3,208,3,388,3,199,3,516,3,407,3,178,3,397,3
38 min,672,3,117,3,154,3,169,3,250,3,228,3,569,3,320,3,261,3,418,3
39 min,591,3,91,3,101,3,319,3,392,3,171,3,587,3,2083,3,162,3,415,3
40 min,662,3,102,3,163,3,202,3,316,3,201,3,558,3,23,3,241,3,330,3
41 min,715,3,102,3,144,3,156,3,302,3,198,3,594,3,50,3,160,3,361,3
42 min,673,3,94,3,123,3,251,3,339,3,205,3,617,3,99,3,177,3,379,3
43 min,618,3,79,3,119,3,226,3,236,3,196,3,703,3,164,3,227,3,387,3
44 min,625,3,92,3,137,3,182,3,517,3,167,3,691,3,299,3,140,3,382,3
45 min,755,3,87,3,166,3,235,3,277,3,221,3,727,3,392,3,163,3,330,3
46 min,667,3,92,3,121,3,216,3,212,3,189,3,671,3,458,3,170,3,455,3
47 min,749,3,110,3,144,3,1531,3,307,3,149,3,661,3,555,3,166,3,465,3
48 min,682,3,85,3,124,3,152,3,272,3,174,3,631,3,616,3,197,3,382,3
49 min,875,3,103,3,120,3,199,3,319,3,190,3,645,3,626,3,152,3,445,3
